"","x"
"2167",6293
"2168",6622
"2169",8357
"2170",2680
"2171",2623
"2172",2378
"2173",7240
"2174",7266
"2175",1439
"2176",9036
"2177",445
"2178",3848
"2179",516
"2180",9786
"2181",1527
"2182",3109
"2183",6672
"2184",4056
"2185",9793
"2186",7797
"2187",6124
"2188",3728
"2189",7507
"2190",3222
"2191",7307
"2192",2494
"2193",10312
"2194",3565
"2195",954
"2196",7848
"2197",3924
"2198",898
"2199",8264
"2200",1628
"2201",10456
"2202",4846
"2203",8457
"2204",7032
"2205",6922
"2206",2789
"2207",9420
"2208",9522
"2209",4287
"2210",10372
"2211",6256
"2212",5344
"2213",6444
"2214",10418
"2215",2790
"2216",6
"2217",8295
"2218",5585
"2219",6420
"2220",4636
"2221",3076
"2222",7650
"2223",1196
"2224",7297
"2225",8818
"2226",9278
"2227",4758
"2228",7928
"2229",4390
"2230",10602
"2231",3212
"2232",8758
"2233",3215
"2234",7659
"2235",3874
"2236",2264
"2237",9304
"2238",6788
"2239",4630
"2240",5347
"2241",4142
"2242",3509
"2243",6889
"2244",8960
"2245",3204
"2246",4146
"2247",4383
"2248",9780
"2249",9509
"2250",984
"2251",3672
"2252",1537
"2253",4835
"2254",153
"2255",8007
"2256",4396
"2257",2911
"2258",3080
"2259",9051
"2260",1104
"2261",7706
"2262",4499
"2263",10719
"2264",3392
"2265",525
"2266",5818
"2267",4068
"2268",7544
"2269",9840
"2270",973
"2271",643
"2272",3280
"2273",8736
"2274",5525
"2275",38
"2276",9020
"2277",1568
"2278",4573
"2279",929
"2280",4802
"2281",886
"2282",8281
"2283",652
"2284",548
"2285",756
"2286",797
"2287",746
"2288",6619
"2289",10847
"2290",3160
"2291",7939
"2292",10468
"2293",5201
"2294",443
"2295",3087
"2296",9574
"2297",2567
"2298",4919
"2299",7314
"2300",2810
"2301",6912
"2302",4535
"2303",8153
"2304",8955
"2305",849
"2306",2999
"2307",4542
"2308",5616
"2309",5932
"2310",10345
"2311",5902
"2312",1978
"2313",10041
"2314",1358
"2315",6866
"2316",7051
"2317",2920
"2318",3706
"2319",9842
"2320",2402
"2321",6934
"2322",5990
"2323",7606
"2324",10098
"2325",7449
"2326",6561
"2327",4816
"2328",8168
"2329",2644
"2330",3002
"2331",4702
"2332",8880
"2333",9865
"2334",1600
"2335",7293
"2336",7872
"2337",10511
"2338",8603
"2339",10156
"2340",6178
"2341",7945
"2342",616
"2343",2098
"2344",7112
"2345",7930
"2346",7409
"2347",62
"2348",9117
"2349",8222
"2350",10508
"2351",1812
"2352",2924
"2353",5316
"2354",9530
"2355",1012
"2356",791
"2357",6930
"2358",2300
"2359",4746
"2360",10121
"2361",8172
"2362",2671
"2363",3101
"2364",5594
"2365",8316
"2366",5156
"2367",10516
"2368",5134
"2369",10694
"2370",7832
"2371",4860
"2372",1424
"2373",7938
"2374",916
"2375",7800
"2376",4680
"2377",9586
"2378",9250
"2379",6062
"2380",5590
"2381",7324
"2382",8738
"2383",1341
"2384",10589
"2385",9502
"2386",2222
"2387",5816
"2388",5832
"2389",1347
"2390",3638
"2391",3154
"2392",5294
"2393",4438
"2394",4705
"2395",7960
"2396",1872
"2397",8696
"2398",584
"2399",6285
"2400",694
"2401",4225
"2402",4306
"2403",569
"2404",7326
"2405",10308
"2406",5223
"2407",4144
"2408",4235
"2409",7806
"2410",2692
"2411",8089
"2412",10415
"2413",568
"2414",9822
"2415",3131
"2416",10807
"2417",7708
"2418",6174
"2419",4753
"2420",2840
"2421",6894
"2422",9640
"2423",2322
"2424",10080
"2425",10702
"2426",10828
"2427",7042
"2428",1494
"2429",7874
"2430",6526
"2431",4820
"2432",879
"2433",614
"2434",4150
"2435",3760
"2436",932
"2437",5484
"2438",519
"2439",432
"2440",897
"2441",4472
"2442",5950
"2443",8196
"2444",10718
"2445",10586
"2446",3700
"2447",2154
"2448",8610
"2449",9039
"2450",3820
"2451",2627
"2452",9345
"2453",1566
"2454",7614
"2455",7257
"2456",8992
"2457",4850
"2458",5498
"2459",3990
"2460",4777
"2461",9680
"2462",1188
"2463",8178
"2464",8617
"2465",10708
"2466",2123
"2467",9162
"2468",3070
"2469",4088
"2470",8570
"2471",7626
"2472",5314
"2473",3637
"2474",9200
"2475",6700
"2476",1414
"2477",6099
"2478",1064
"2479",1656
"2480",1230
"2481",1504
"2482",1790
"2483",8948
"2484",8146
"2485",9632
"2486",2148
"2487",2425
"2488",5020
"2489",5179
"2490",3426
"2491",10754
"2492",1810
"2493",9684
"2494",6648
"2495",9835
"2496",4514
"2497",702
"2498",5093
"2499",5087
"2500",1360
"2501",8278
"2502",6604
"2503",2172
"2504",1319
"2505",742
"2506",4678
"2507",1669
"2508",1714
"2509",5442
"2510",2652
"2511",927
"2512",3274
"2513",6378
"2514",4456
"2515",126
"2516",2864
"2517",4223
"2518",8024
"2519",7777
"2520",335
"2521",1672
"2522",4633
"2523",10838
"2524",5370
"2525",10302
"2526",6632
"2527",5180
"2528",4133
"2529",6121
"2530",2847
"2531",7710
"2532",6609
"2533",7810
"2534",9501
"2535",8416
"2536",3340
"2537",4833
"2538",3237
"2539",2136
"2540",8426
"2541",2448
"2542",5947
"2543",6890
"2544",8694
"2545",2534
"2546",1148
"2547",4961
"2548",7885
"2549",4744
"2550",2072
"2551",1138
"2552",4720
"2553",6666
"2554",1524
"2555",5384
"2556",3334
"2557",629
"2558",188
"2559",2288
"2560",9772
"2561",10858
"2562",116
"2563",2354
"2564",3302
"2565",3968
"2566",10120
"2567",391
"2568",1088
"2569",10626
"2570",10721
"2571",607
"2572",3828
"2573",921
"2574",4193
"2575",3586
"2576",122
"2577",4867
"2578",4511
"2579",10656
"2580",8424
"2581",7350
"2582",2846
"2583",8752
"2584",2131
"2585",1636
"2586",6808
"2587",1483
"2588",4283
"2589",4593
"2590",5792
"2591",1444
"2592",6641
"2593",286
"2594",9267
"2595",8328
"2596",5584
"2597",10784
"2598",538
"2599",9711
"2600",2520
"2601",1880
"2602",300
"2603",4346
"2604",6998
"2605",2008
"2606",6712
"2607",3803
"2608",3594
"2609",2546
"2610",9858
"2611",6380
"2612",7383
"2613",4998
"2614",7670
"2615",6478
"2616",2252
"2617",6369
"2618",3662
"2619",426
"2620",7069
"2621",732
"2622",6407
"2623",5738
"2624",3538
"2625",4751
"2626",8169
"2627",604
"2628",4218
"2629",5566
"2630",7271
"2631",6490
"2632",8888
"2633",2256
"2634",5555
"2635",9408
"2636",681
"2637",8861
"2638",580
"2639",822
"2640",2410
"2641",7451
"2642",1962
"2643",4315
"2644",2039
"2645",6138
"2646",7212
"2647",5114
"2648",9093
"2649",6520
"2650",3072
"2651",712
"2652",2748
"2653",4137
"2654",7079
"2655",6208
"2656",3567
"2657",9129
"2658",5501
"2659",2416
"2660",9204
"2661",2091
"2662",4643
"2663",5648
"2664",4089
"2665",7546
"2666",7216
"2667",10551
"2668",914
"2669",6282
"2670",8615
"2671",8560
"2672",5085
"2673",1290
"2674",1650
"2675",7476
"2676",1644
"2677",1788
"2678",5962
"2679",9883
"2680",10160
"2681",586
"2682",3650
"2683",2996
"2684",6756
"2685",667
"2686",8236
"2687",6493
"2688",3562
"2689",2841
"2690",1968
"2691",6265
"2692",2290
"2693",4436
"2694",10149
"2695",8266
"2696",4692
"2697",3517
"2698",9976
"2699",8600
"2700",413
"2701",10448
"2702",6899
"2703",5310
"2704",8544
"2705",3918
"2706",8386
"2707",4882
"2708",5073
"2709",1954
"2710",9762
"2711",5447
"2712",9798
